	00AA	America/Chicago
	00AK	America/Anchorage
	00AL	America/Chicago
	00AN	America/Anchorage
	00AR	America/Chicago
	00AS	America/Chicago
	00CA	America/Los_Angeles
	00CL	America/Los_Angeles
	00FA	America/New_York
	00FL	America/New_York
	00GA	America/New_York
	00ID	America/Los_Angeles
	00IG	America/Chicago
	00IL	America/Chicago
	00IS	America/Chicago
	00KS	America/Chicago
	00LS	America/Chicago
	00MN	America/Chicago
	00NC	America/New_York
	00OK	America/Chicago
	00PN	America/New_York
	00SC	America/New_York
	00SD	America/Chicago
	00TN	America/Chicago
	00TS	America/Chicago
	00TT	America/Chicago
	00TX	America/Chicago
	00VA	America/New_York
	00VI	America/New_York
	00WA	America/Los_Angeles
	00WI	America/Chicago
	00WN	America/Los_Angeles
	00WV	America/New_York
	00XA	America/Chicago
	01AL	America/Chicago
	01AN	America/Anchorage
	01CL	America/Los_Angeles
	01CN	America/Anchorage
	01FA	America/New_York
	01FL	America/New_York
	01GE	America/New_York
	01ID	America/Boise
	01LA	America/Chicago
	01MT	America/Denver
	01NC	America/New_York
	01NH	America/New_York
	01NK	America/New_York
	01NM	America/Denver
	01NV	America/Los_Angeles
	01OL	America/Chicago
	01PA	America/New_York
	01PS	America/New_York
	01SC	America/New_York
	01TA	America/Chicago
	01TN	America/Chicago
	01TS	America/Chicago
	01TX	America/Chicago
	01VA	America/New_York
	01WI	America/Chicago
	01WY	America/Denver
	02AA	America/Anchorage
	02AK	America/Anchorage
	02AL	America/Chicago
	02AN	America/Anchorage
	02AR	America/Chicago
	02CD	America/Chicago
	02CO	America/Denver
	02FA	America/New_York
	02FD	America/Chicago
	02GA	America/New_York
	02GE	America/New_York
	02ID	America/Boise
	02IN	America/Indiana/Indianapolis
	02KS	America/Chicago
	02MD	America/New_York
	02ME	America/New_York
	02MI	America/Detroit
	02MO	America/Chicago
	02MS	America/Chicago
	02MT	America/Denver
	02NM	America/Denver
	02NV	America/Los_Angeles
	02OK	America/Chicago
	02PR	America/Puerto_Rico
	02SC	America/New_York
	02TN	America/Chicago
	02TS	America/Chicago
	02UT	America/Denver
	02WA	America/Los_Angeles
	02WI	America/Chicago
	02WN	America/Los_Angeles
	02XA	America/Chicago
	02XS	America/Chicago
	03AZ	America/Phoenix
	03CO	America/Denver
	03FA	America/New_York
	03FL	America/New_York
	03GA	America/New_York
	03IA	America/Chicago
	03ID	America/Boise
	03IL	America/Chicago
	03KY	America/Chicago
	03MA	America/New_York
	03ME	America/New_York
	03MN	America/Chicago
	03MO	America/Chicago
	03MU	America/Chicago
	03NC	America/New_York
	03ND	America/Chicago
	03NV	America/Los_Angeles
	03NY	America/New_York
	03OH	America/New_York
	03OK	America/Chicago
	03OL	America/Chicago
	03OR	America/Los_Angeles
	03PR	America/Chicago
	03TE	America/Chicago
	03TT	America/Chicago
	03UT	America/Denver
	03WA	America/Los_Angeles
	03WN	America/Los_Angeles
	03WY	America/Denver
	03XS	America/Chicago
	04AA	America/Anchorage
	04AN	America/Anchorage
	04AZ	America/Denver
	04CA	America/Los_Angeles
	04CL	America/Los_Angeles
	04FA	America/New_York
	04FL	America/New_York
	04IA	America/Chicago
	04ID	America/Boise
	04IL	America/Chicago
	04IS	America/Chicago
	04KS	America/Chicago
	04KY	America/Chicago
	04MA	America/New_York
	04ME	America/New_York
	04MI	America/Detroit
	04MN	America/Chicago
	04MS	America/Chicago
	04NE	America/Denver
	04NJ	America/New_York
	04NV	America/Los_Angeles
	04NY	America/New_York
	04OR	America/Los_Angeles
	04TN	America/New_York
	04TT	America/Chicago
	04TX	America/Chicago
	04UT	America/Denver
	04VT	America/New_York
	04WA	America/Los_Angeles
	04WI	America/Chicago
	04WN	America/Los_Angeles
	04XA	America/Chicago
	05AK	America/Anchorage
	05AN	America/Anchorage
	05AR	America/Chicago
	05CL	America/Los_Angeles
	05CO	America/Denver
	05FA	America/Chicago
	05FL	America/New_York
	05GA	America/New_York
	05IA	America/Chicago
	05ID	America/Los_Angeles
	05IL	America/Chicago
	05IN	America/Indiana/Indianapolis
	05KS	America/Chicago
	05KT	America/New_York
	05KY	America/New_York
	05LA	America/Chicago
	05LS	America/Chicago
	05MD	America/New_York
	05ME	America/New_York
	05MO	America/Chicago
	05MT	America/Denver
	05NC	America/New_York
	05NE	America/Chicago
	05NR	America/New_York
	05NV	America/Los_Angeles
	05OH	America/New_York
	05OK	America/Chicago
	05OR	America/Los_Angeles
	05PS	America/New_York
	05TA	America/Chicago
	05TE	America/Chicago
	05TX	America/Chicago
	05UT	America/Denver
	05VA	America/New_York
	05WI	America/Chicago
	05WN	America/Los_Angeles
	05XS	America/Chicago
	06AA	America/Anchorage
	06AK	America/Anchorage
	06AN	America/Anchorage
	06AR	America/Chicago
	06CO	America/Denver
	06FA	America/New_York
	06FD	America/New_York
	06IA	America/Chicago
	06ID	America/Boise
	06IL	America/Chicago
	06IS	America/Chicago
	06MO	America/Chicago
	06MT	America/Denver
	06NC	America/New_York
	06NH	America/New_York
	06NV	America/Los_Angeles
	06NY	America/New_York
	06OH	America/New_York
	06OI	America/New_York
	06PA	America/New_York
	06TA	America/Chicago
	06TE	America/Chicago
	06TN	America/Chicago
	06TS	America/Chicago
	06TT	America/Chicago
	06VA	America/New_York
	06WI	America/Chicago
	06WN	America/Los_Angeles
	06XA	America/Chicago
	06XS	America/Chicago
	07AA	America/Anchorage
	07AN	America/Anchorage
	07AR	America/Chicago
	07CL	America/Los_Angeles
	07GA	America/New_York
	07GE	America/New_York
	07IA	America/Chicago
	07ID	America/Boise
	07IN	America/Indiana/Indianapolis
	07KS	America/Chicago
	07KY	America/New_York
	07LA	America/Chicago
	07MD	America/New_York
	07MO	America/Chicago
	07MT	America/Denver
	07NC	America/New_York
	07NV	America/Los_Angeles
	07OK	America/Chicago
	07PA	America/New_York
	07PN	America/New_York
	07TA	America/Chicago
	07TE	America/Chicago
	07TS	America/Chicago
	07TT	America/Chicago
	07UT	America/Denver
	07VA	America/New_York
	07VT	America/New_York
	08AK	America/Anchorage
	08AN	America/Anchorage
	08AR	America/Chicago
	08CL	America/Los_Angeles
	08CO	America/Denver
	08FD	America/New_York
	08FL	America/New_York
	08GA	America/New_York
	08ID	America/Boise
	08IL	America/Chicago
	08KS	America/Chicago
	08KY	America/New_York
	08LL	America/Chicago
	08LS	America/Chicago
	08ME	America/New_York
	08MO	America/Chicago
	08MS	America/Chicago
	08MT	America/Denver
	08ND	America/North_Dakota/Beulah
	08NR	America/New_York
	08NY	America/New_York
	08OH	America/New_York
	08OK	America/Chicago
	08OL	America/Chicago
	08OR	America/Los_Angeles
	08TN	America/Chicago
	08TS	America/Chicago
	08TT	America/Chicago
	08TX	America/Chicago
	08UT	America/Denver
	08WA	America/Los_Angeles
	08WI	America/Chicago
	08XA	America/Chicago
	08XS	America/Chicago
	09AK	America/Anchorage
	09AN	America/Anchorage
	09AZ	America/Phoenix
	09CL	America/Los_Angeles
	09CO	America/Denver
	09FA	America/New_York
	09FD	America/New_York
	09GE	America/New_York
	09IA	America/Chicago
	09ID	America/Boise
	09IN	America/Indiana/Indianapolis
	09KS	America/Chicago
	09LL	America/Chicago
	09ME	America/New_York
	09MT	America/Denver
	09NC	America/New_York
	09NE	America/Chicago
	09NR	America/New_York
	09OK	America/Chicago
	09PA	America/New_York
	09TA	America/Chicago
	09TS	America/Chicago
	09UT	America/Denver
	09VA	America/New_York
	09WI	America/Chicago
	0AA5	America/Anchorage
	0AA7	America/Anchorage
	0AK0	America/Anchorage
	0AK1	America/Anchorage
	0AK2	America/Anchorage
	0AK3	America/Anchorage
	0AK5	America/Anchorage
	0AK6	America/Anchorage
	0AK7	America/Anchorage
	0AK8	America/Anchorage
	0AK9	America/Anchorage
	0AL1	America/Chicago
	0AL5	America/Chicago
	0AL9	America/Chicago
	0AR3	America/Chicago
	0AZ1	America/Phoenix
	0AZ2	America/Phoenix
	0AZ4	America/Phoenix
	0AZ5	America/Phoenix
	0AZ9	America/Phoenix
	0CA0	America/Los_Angeles
	0CA4	America/Los_Angeles
	0CA5	America/Los_Angeles
	0CA6	America/Los_Angeles
	0CA9	America/Los_Angeles
	0CD2	America/Denver
	0CD5	America/Denver
	0CD7	America/Denver
	0CL0	America/Los_Angeles
	0CL1	America/Los_Angeles
	0CL3	America/Los_Angeles
	0CN1	America/Los_Angeles
	0CN2	America/Los_Angeles
	0CO1	America/Denver
	0CO5	America/Denver
	0CO6	America/Denver
	0CO9	America/Denver
	0FA1	America/New_York
	0FD0	America/New_York
	0FD3	America/Chicago
	0FD4	America/Chicago
	0FD5	America/Chicago
	0FD9	America/Chicago
	0FL0	America/New_York
	0FL9	America/New_York
	0GA0	America/New_York
	0GA1	America/New_York
	0GA2	America/New_York
	0GA3	America/New_York
	0GA6	America/New_York
	0GA8	America/New_York
	0GA9	America/New_York
	0GE0	America/New_York
	0GE1	America/New_York
	0GE3	America/New_York
	0GE4	America/New_York
	0GE5	America/New_York
	0GE7	America/New_York
	0GE9	America/New_York
	0IA4	America/Chicago
	0IA5	America/Chicago
	0ID0	America/Boise
	0ID1	America/Boise
	0ID2	America/Boise
	0ID3	America/Boise
	0ID4	America/Boise
	0ID7	America/Boise
	0ID8	America/Los_Angeles
	0ID9	America/Los_Angeles
	0II0	America/Indiana/Indianapolis
	0II7	America/Indiana/Indianapolis
	0II8	America/Chicago
	0II9	America/Indiana/Indianapolis
	0IL2	America/Chicago
	0IL7	America/Chicago
	0IL9	America/Chicago
	0IN1	America/Indiana/Vincennes
	0IN4	America/Indiana/Indianapolis
	0IN5	America/Kentucky/Louisville
	0IN9	America/Chicago
	0IS3	America/Chicago
	0KS0	America/Chicago
	0KS2	America/Chicago
	0KS4	America/Chicago
	0KS5	America/Chicago
	0KS6	America/Chicago
	0KS7	America/Chicago
	0KS8	America/Chicago
	0KS9	America/Chicago
	0KY0	America/New_York
	0KY1	America/Chicago
	0KY5	America/Chicago
	0KY7	America/Chicago
	0LA3	America/Chicago
	0LA9	America/Chicago
	0LL0	America/Chicago
	0LL1	America/Chicago
	0LL3	America/Chicago
	0LL4	America/Chicago
	0LL5	America/Chicago
	0LL6	America/Chicago
	0LS0	America/Chicago
	0LS5	America/Chicago
	0LS7	America/Chicago
	0MD1	America/New_York
	0MD2	America/New_York
	0MD6	America/New_York
	0ME4	America/New_York
	0MI4	America/Detroit
	0MN8	America/Chicago
	0MO1	America/Chicago
	0MO3	America/Chicago
	0MO6	America/Chicago
	0MO8	America/Chicago
	0MS0	America/Chicago
	0MS2	America/Chicago
	0MS7	America/Chicago
	0MS8	America/Chicago
	0MS9	America/Chicago
	0MT4	America/Denver
	0MT5	America/Denver
	0MT6	America/Denver
	0MT7	America/Denver
	0MT9	America/Denver
	0MU7	America/Chicago
	0MU9	America/Chicago
	0NA1	America/Chicago
	0NA9	America/Denver
	0NC1	America/New_York
	0NC7	America/New_York
	0NC8	America/New_York
	0ND0	America/Chicago
	0ND6	America/Chicago
	0NE0	America/Denver
	0NE1	America/Denver
	0NE9	America/Chicago
	0NJ6	America/New_York
	0NK0	America/New_York
	0NK2	America/New_York
	0NK3	America/New_York
	0NM7	America/Denver
	0NY0	America/New_York
	0NY3	America/New_York
	0NY7	America/New_York
	0NY8	America/New_York
	0OH5	America/New_York
	0OH8	America/New_York
	0OI6	America/New_York
	0OI9	America/New_York
	0OK1	America/Chicago
	0OK2	America/Chicago
	0OK4	America/Chicago
	0OK5	America/Chicago
	0OK6	America/Chicago
	0OK8	America/Chicago
	0OR3	America/Los_Angeles
	0OR6	America/Boise
	0OR7	America/Los_Angeles
	0OR8	America/Los_Angeles
	0PA2	America/New_York
	0PA3	America/New_York
	0PA5	America/New_York
	0PN0	America/New_York
	0PN5	America/New_York
	0PN6	America/New_York
	0PN7	America/New_York
	0PN8	America/New_York
	0PS0	America/New_York
	0PS3	America/New_York
	0PS4	America/New_York
	0PS7	America/New_York
	0SD3	America/Denver
	0TA2	America/Chicago
	0TA4	America/Chicago
	0TA8	America/Chicago
	0TE0	America/Chicago
	0TE4	America/Chicago
	0TE5	America/Chicago
	0TN0	America/Chicago
	0TN2	America/New_York
	0TN5	America/Chicago
	0TN6	America/New_York
	0TS0	America/Chicago
	0TS5	America/Chicago
	0TS7	America/Chicago
	0TX0	America/Chicago
	0TX1	America/Chicago
	0TX4	America/Chicago
	0TX5	America/Chicago
	0TX6	America/Chicago
	0TX7	America/Chicago
	0TX8	America/Chicago
	0TX9	America/Chicago
	0VA0	America/New_York
	0VA1	America/New_York
	0VA2	America/New_York
	0VA3	America/New_York
	0VA4	America/New_York
	0VI1	America/New_York
	0WA1	America/Los_Angeles
	0WA2	America/Los_Angeles
	0WI1	America/Chicago
	0WI2	America/Chicago
	0WI4	America/Chicago
	0WI5	America/Chicago
	0WI6	America/Chicago
	0WI7	America/Chicago
	0WN0	America/Los_Angeles
	0WN1	America/Los_Angeles
	0WN2	America/Los_Angeles
	0WS7	America/Chicago
	0WY0	America/Denver
	0WY1	America/Denver
	0XA0	America/Chicago
	0XA4	America/Chicago
	0XA5	America/Chicago
	0XA7	America/Chicago
	0XS2	America/Chicago
	0XS7	America/Chicago
	0XS8	America/Chicago
	0XS9	America/Chicago
	10AK	America/Anchorage
	10AN	America/Anchorage
	10AR	America/Chicago
	10AZ	America/Phoenix
	10CO	America/Denver
	10FA	America/New_York
	10FD	America/New_York
	10GA	America/New_York
	10IA	America/Chicago
	10ID	America/Boise
	10IN	America/Indiana/Indianapolis
	10KY	America/Chicago
	10LA	America/Chicago
	10LS	America/Chicago
	10MO	America/Chicago
	10NC	America/New_York
	10ND	America/Denver
	10OK	America/Chicago
	10TN	America/Chicago
	10TS	America/Chicago
	10TT	America/Chicago
	10VA	America/New_York
	10WI	America/Chicago
	10WY	America/Denver
	10XA	America/Chicago
	10XS	America/Chicago
	11AK	America/Anchorage
	11AZ	America/Phoenix
	11FA	America/New_York
	11FL	America/New_York
	11IA	America/Chicago
	11IN	America/Indiana/Indianapolis
	11KS	America/Chicago
	11LL	America/Chicago
	11LS	America/Chicago
	11MA	America/New_York
	11MD	America/New_York
	11MO	America/Chicago
	11MT	America/Denver
	11NK	America/New_York
	11NY	America/New_York
	11OA	America/New_York
	11OR	America/Los_Angeles
	11PN	America/New_York
	11TE	America/Chicago
	11TN	America/Chicago
	11UT	America/Denver
	11VG	America/New_York
	11WA	America/Los_Angeles
	11WY	America/Denver
	11XA	America/Chicago
	12AR	America/Chicago
	12AZ	America/Phoenix
	12CL	America/Los_Angeles
	12CN	America/Los_Angeles
	12IA	America/Chicago
	12ID	America/Boise
	12IN	America/Chicago
	12KS	America/Chicago
	12KY	America/New_York
	12LA	America/Chicago
	12LS	America/Chicago
	12ME	America/New_York
	12MT	America/Denver
	12NC	America/New_York
	12ND	America/Chicago
	12NE	America/Denver
	12NH	America/New_York
	12NK	America/New_York
	12NY	America/New_York
	12OH	America/New_York
	12OK	America/Chicago
	12OR	America/Boise
	12SC	America/New_York
	12TA	America/Chicago
	12TN	America/New_York
	12TS	America/Chicago
	12TT	America/Chicago
	12TX	America/Chicago
	12UT	America/Denver
	12VA	America/New_York
	12WA	America/Los_Angeles
	12WV	America/New_York
	12WY	America/Denver
	13AK	America/Anchorage
	13FA	America/New_York
	13GA	America/New_York
	13GE	America/New_York
	13IN	America/Indiana/Indianapolis
	13KS	America/Chicago
	13KY	America/Chicago
	13ME	America/New_York
	13MO	America/Chicago
	13MS	America/Chicago
	13MT	America/Denver
	13NC	America/New_York
	13NE	America/Chicago
	13NM	America/Denver
	13NR	America/New_York
	13OR	America/Los_Angeles
	13PA	America/New_York
	13TE	America/Chicago
	13TS	America/Chicago
	13TT	America/Chicago
	13TX	America/Chicago
	13WA	America/Los_Angeles
	13WI	America/Chicago
	13XA	America/Chicago
	14AK	America/Anchorage
	14AZ	America/Phoenix
	14IA	America/Chicago
	14ID	America/Boise
	14KS	America/Chicago
	14KY	America/New_York
	14LA	America/Chicago
	14MO	America/Chicago
	14MS	America/Chicago
	14MT	America/Denver
	14NC	America/New_York
	14ND	America/Denver
	14OH	America/New_York
	14TA	America/Chicago
	14TS	America/Chicago
	14TT	America/Chicago
	14TX	America/Chicago
	14VA	America/New_York
	14VG	America/New_York
	14VT	America/New_York
	14WA	America/Los_Angeles
	14WS	America/Chicago
	14XA	America/Chicago
	14XS	America/Chicago
	15AK	America/Anchorage
	15AR	America/Chicago
	15CL	America/Los_Angeles
	15FL	America/New_York
	15IA	America/Chicago
	15ID	America/Los_Angeles
	15IL	America/Chicago
	15IN	America/Chicago
	15LL	America/Chicago
	15MA	America/New_York
	15ME	America/New_York
	15MN	America/Chicago
	15MO	America/Chicago
	15MT	America/Denver
	15NC	America/New_York
	15NE	America/Chicago
	15OK	America/Chicago
	15TA	America/Chicago
	15TT	America/Chicago
	15TX	America/Chicago
	15UT	America/Denver
	15VA	America/New_York
	15WA	America/Los_Angeles
	15WI	America/Chicago
	15XA	America/Chicago
	15XS	America/Chicago
	16AK	America/Anchorage
	16AR	America/Chicago
	16AZ	America/Phoenix
	16CO	America/Denver
	16FA	America/New_York
	16FD	America/New_York
	16FL	America/Chicago
	16IA	America/Chicago
	16IL	America/Chicago
	16KS	America/Chicago
	16LS	America/Chicago
	16MD	America/New_York
	16MI	America/Detroit
	16MO	America/Chicago
	16MT	America/Denver
	16NC	America/New_York
	16ND	America/Chicago
	16NE	America/Chicago
	16NY	America/New_York
	16OH	America/New_York
	16OI	America/New_York
	16OK	America/Chicago
	16SC	America/New_York
	16TA	America/Chicago
	16TE	America/Chicago
	16TT	America/Chicago
	16TX	America/Chicago
	16UT	America/Denver
	16VA	America/New_York
	16WA	America/Los_Angeles
	16XS	America/Chicago
	17AR	America/Chicago
	17CL	America/Los_Angeles
	17CO	America/Denver
	17FA	America/New_York
	17FL	America/New_York
	17GA	America/New_York
	17ID	America/Boise
	17II	America/Indiana/Indianapolis
	17IN	America/New_York
	17KS	America/Chicago
	17LS	America/Chicago
	17ME	America/New_York
	17MO	America/Chicago
	17MT	America/Denver
	17MU	America/Chicago
	17NC	America/New_York
	17NK	America/New_York
	17NR	America/New_York
	17OH	America/New_York
	17OI	America/New_York
	17OK	America/Chicago
	17OR	America/Los_Angeles
	17SD	America/Chicago
	17TE	America/Chicago
	17TN	America/New_York
	17TX	America/Chicago
	17WI	America/Chicago
	17WT	America/Los_Angeles
	17XA	America/Chicago
	17XS	America/Chicago
	18AA	America/Juneau
	18AR	America/Chicago
	18AZ	America/Phoenix
	18CL	America/Los_Angeles
	18FD	America/Chicago
	18GA	America/New_York
	18GE	America/New_York
	18HI	Pacific/Honolulu
	18II	America/Indiana/Indianapolis
	18IN	America/Indiana/Indianapolis
	18JY	America/Los_Angeles
	18KS	America/Chicago
	18ME	America/New_York
	18MI	America/Detroit
	18MN	America/Chicago
	18MO	America/Chicago
	18MS	America/Chicago
	18MT	America/Denver
	18NC	America/New_York
	18ND	America/Chicago
	18NR	America/New_York
	18NV	America/Los_Angeles
	18NY	America/New_York
	18OI	America/New_York
	18OR	America/Los_Angeles
	18PA	America/New_York
	18PN	America/New_York
	18SC	America/New_York
	18SD	America/Chicago
	18TA	America/Chicago
	18TE	America/Chicago
	18TT	America/Chicago
	18TX	America/Chicago
	18WV	America/New_York
	18XA	America/Chicago
	19AR	America/Chicago
	19AZ	America/Phoenix
	19GA	America/New_York
	19IA	America/Chicago
	19IN	America/Indiana/Indianapolis
	19KY	America/New_York
	19LA	America/Chicago
	19LL	America/Chicago
	19ME	America/Toronto
	19MO	America/Chicago
	19MS	America/Chicago
	19MT	America/Denver
	19NC	America/New_York
	19NE	America/Chicago
	19NK	America/New_York
	19NY	America/New_York
	19OR	America/Los_Angeles
	19PN	America/New_York
	19SC	America/New_York
	19TN	America/Chicago
	19TS	America/Chicago
	19VA	America/New_York
	19WA	America/Los_Angeles
	19XS	America/Chicago
	1AA0	America/New_York
	1AK1	America/Anchorage
	1AK2	America/Anchorage
	1AK4	America/Anchorage
	1AK6	America/Anchorage
	1AK8	America/Anchorage
	1AL2	America/Chicago
	1AL4	America/Chicago
	1AL5	America/Chicago
	1AL8	America/Chicago
	1AR1	America/Chicago
	1AR2	America/Chicago
	1AR4	America/Chicago
	1AR5	America/Chicago
	1AR6	America/Chicago
	1AR9	America/Chicago
	1AZ0	America/Phoenix
	1AZ2	America/Phoenix
	1AZ6	America/Phoenix
	1AZ8	America/Phoenix
	1CA6	America/Los_Angeles
	1CD1	America/Denver
	1CD2	America/Denver
	1CD4	America/Denver
	1CL1	America/Los_Angeles
	1CL2	America/Los_Angeles
	1CO2	America/Denver
	1CO3	America/Denver
	1CO4	America/Denver
	1CO5	America/Denver
	1CO8	America/Denver
	1DE5	America/New_York
	1FA1	America/New_York
	1FA3	America/New_York
	1FA9	America/New_York
	1FD4	America/New_York
	1GA0	America/New_York
	1GA2	America/New_York
	1GA6	America/New_York
	1GA8	America/New_York
	1GA9	America/New_York
	1GE2	America/New_York
	1GE3	America/New_York
	1GE5	America/New_York
	1GE6	America/New_York
	1GE7	America/New_York
	1GE9	America/New_York
	1ID3	America/Los_Angeles
	1ID4	America/Boise
	1ID7	America/Boise
	1ID9	America/Boise
	1II0	America/Indiana/Indianapolis
	1II5	America/Indiana/Knox
	1IL0	America/Chicago
	1IL4	America/Chicago
	1IL9	America/Chicago
	1IN1	America/Indiana/Indianapolis
	1IN3	America/Indiana/Indianapolis
	1IN4	America/Kentucky/Louisville
	1IN5	America/Chicago
	1IN6	America/Indiana/Indianapolis
	1IN9	America/Indiana/Indianapolis
	1IS2	America/Chicago
	1IS3	America/Chicago
	1JY2	America/Los_Angeles
	1KS1	America/Chicago
	1KS2	America/Chicago
	1KS3	America/Chicago
	1KS4	America/Chicago
	1KS6	America/Chicago
	1KS8	America/Chicago
	1KS9	America/Chicago
	1KY7	America/New_York
	1LA1	America/Chicago
	1LA3	America/Chicago
	1LA4	America/Chicago
	1LA5	America/Chicago
	1LA9	America/Chicago
	1LL4	America/Chicago
	1LL5	America/Chicago
	1LL8	America/Chicago
	1LS8	America/Chicago
	1MA5	America/New_York
	1MD1	America/New_York
	1MD8	America/New_York
	1MI3	America/Detroit
	1MI4	America/Detroit
	1MI5	America/Detroit
	1MI6	America/Detroit
	1MN0	America/Chicago
	1MN2	America/Chicago
	1MN5	America/Chicago
	1MN8	America/Chicago
	1MO2	America/Chicago
	1MO3	America/Chicago
	1MO4	America/Chicago
	1MO6	America/Chicago
	1MO7	America/Chicago
	1MO8	America/Chicago
	1MS2	America/Chicago
	1MS8	America/Chicago
	1MT0	America/Denver
	1MT3	America/Denver
	1MT4	America/Denver
	1MT6	America/Denver
	1MT7	America/Denver
	1MT9	America/Denver
	1MU0	America/Chicago
	1MU2	America/Chicago
	1MU8	America/Chicago
	1MY1	America/Chicago
	1NA5	America/Chicago
	1NA8	America/Chicago
	1NC0	America/New_York
	1NC2	America/New_York
	1NC3	America/New_York
	1NC4	America/New_York
	1NC5	America/New_York
	1NC6	America/New_York
	1NC8	America/New_York
	1ND4	America/Chicago
	1NE2	America/Chicago
	1NE5	America/Chicago
	1NK6	America/New_York
	1NK7	America/New_York
	1NK8	America/New_York
	1NM0	America/Denver
	1NR7	America/New_York
	1NV1	America/Los_Angeles
	1NY3	America/New_York
	1OA1	America/New_York
	1OA2	America/New_York
	1OA4	America/New_York
	1OH1	America/New_York
	1OH2	America/New_York
	1OH3	America/New_York
	1OH9	America/New_York
	1OI6	America/New_York
	1OK0	America/Chicago
	1OK1	America/Chicago
	1OK2	America/Chicago
	1OK3	America/Chicago
	1OK6	America/Chicago
	1OK7	America/Chicago
	1OK8	America/Chicago
	1OK9	America/Chicago
	1OL2	America/Chicago
	1OR0	America/Los_Angeles
	1OR3	America/Los_Angeles
	1OR5	America/Los_Angeles
	1OR7	America/Los_Angeles
	1PA0	America/New_York
	1PA3	America/New_York
	1PA4	America/New_York
	1PN7	America/New_York
	1PS0	America/New_York
	1PS9	America/New_York
	1SC1	America/New_York
	1SC2	America/New_York
	1SD0	America/Denver
	1SD1	America/Chicago
	1SD3	America/Chicago
	1SD4	America/Denver
	1SD5	America/Chicago
	1SD6	America/Denver
	1TA1	America/Chicago
	1TA2	America/Chicago
	1TA4	America/Chicago
	1TA7	America/Chicago
	1TE0	America/Chicago
	1TE1	America/Chicago
	1TE4	America/Chicago
	1TE5	America/Chicago
	1TE8	America/Chicago
	1TE9	America/Chicago
	1TN0	America/Chicago
	1TN2	America/Chicago
	1TN3	America/Chicago
	1TN7	America/Chicago
	1TN8	America/New_York
	1TN9	America/New_York
	1TS1	America/Chicago
	1TS6	America/Chicago
	1TS8	America/Chicago
	1TS9	America/Chicago
	1TX0	America/Chicago
	1TX3	America/Chicago
	1TX5	America/Chicago
	1TX6	America/Chicago
	1TX9	America/Chicago
	1UT9	America/Denver
	1VA0	America/New_York
	1VA1	America/New_York
	1VA3	America/New_York
	1VA8	America/New_York
	1VG2	America/New_York
	1VT8	America/New_York
	1WA2	America/Los_Angeles
	1WA6	America/Los_Angeles
	1WI3	America/Chicago
	1WI6	America/Chicago
	1WI7	America/Chicago
	1WN0	America/Los_Angeles
	1WN3	America/Chicago
	1XA0	America/Chicago
	1XA1	America/Chicago
	1XA4	America/Chicago
	1XA5	America/Chicago
	1XA7	America/Chicago
	1XA8	America/Chicago
	1XS0	America/Chicago
	1XS1	America/Chicago
	1XS2	America/Chicago
	1XS4	America/Chicago
	1XS8	America/Chicago
	20AK	America/Anchorage
	20AR	America/Chicago
	20CL	America/Los_Angeles
	20FD	America/New_York
	20FL	America/New_York
	20GA	America/New_York
	20IA	America/Chicago
	20ID	America/Boise
	20IN	America/Indiana/Indianapolis
	20IS	America/Chicago
	20KS	America/Chicago
	20KT	America/Chicago
	20KY	America/New_York
	20LS	America/Chicago
	20MS	America/Chicago
	20MT	America/Denver
	20NV	America/Los_Angeles
	20NY	America/New_York
	20OH	America/New_York
	20OR	America/Los_Angeles
	20SD	America/Chicago
	20TN	America/New_York
	20TT	America/Chicago
	20VA	America/New_York
	20VG	America/New_York
	20WI	America/Chicago
	20XS	America/Chicago
	21AK	America/Anchorage
	21AR	America/Chicago
	21AZ	America/Phoenix
	21FA	America/New_York
	21FL	America/New_York
	21IN	America/Indiana/Indianapolis
	21LA	America/Chicago
	21LS	America/Chicago
	21ME	America/New_York
	21MO	America/Chicago
	21MS	America/Chicago
	21MT	America/Denver
	21MU	America/Chicago
	21ND	America/Chicago
	21NH	America/New_York
	21NK	America/New_York
	21OG	America/Los_Angeles
	21OI	America/New_York
	21TT	America/Chicago
	21TX	America/Chicago
	21UT	America/Denver
	21VA	America/New_York
	21XS	America/Chicago
	22CL	America/Los_Angeles
	22CO	America/Denver
	22FA	America/New_York
	22GA	America/New_York
	22ID	America/Boise
	22II	America/Chicago
	22IL	America/Chicago
	22IN	America/Indiana/Indianapolis
	22LA	America/Chicago
	22LS	America/Chicago
	22MD	America/New_York
	22MS	America/Chicago
	22MT	America/Denver
	22NC	America/New_York
	22OG	America/Los_Angeles
	22OK	America/Chicago
	22OR	America/Los_Angeles
	22TA	America/Chicago
	22UT	America/Phoenix
	22WN	America/Chicago
	22WY	America/Denver
	22XA	America/Chicago
	22XS	America/Chicago
	23AK	America/Anchorage
	23AR	America/Chicago
	23AZ	America/Phoenix
	23CD	America/Denver
	23CO	America/Denver
	23DE	America/New_York
	23FL	America/New_York
	23GE	America/New_York
	23ID	America/Boise
	23JY	America/Chicago
	23KS	America/Chicago
	23KY	America/Chicago
	23LA	America/Chicago
	23MI	America/Detroit
	23MN	America/Chicago
	23MO	America/Chicago
	23MS	America/Chicago
	23MT	America/Denver
	23MU	America/Chicago
	23NH	America/New_York
	23NJ	America/New_York
	23NK	America/New_York
	23NR	America/New_York
	23PA	America/New_York
